번호,매출키,지점,구분,매출구분,이용항목,이용개월,할인금액,결제금액,결제수단,카드사,"결제금액
과세","결제금액
면세",결제일,이용시작일,이용종료일,결제구분,제휴쿠폰(주문)번호,프로모션 할인,기타 특이사항,회원키
1,987283,22호,좌석매출,매출,고정석,1,0,135000,카드,삼성카드사,0,135000,2021-01-01,2021-01-02,2021-02-02,온라인결제,,,,9259
2,987283,22호,좌석매출,매출,고정석,1,0,35000,카드,삼성카드사,35000,0,2021-01-01,2021-01-02,2021-02-02,온라인결제,,,,9259
3,987284,35호,좌석매출,매출,포커스석,1,0,130000,카드,롯데카드사,0,130000,2021-01-01,2021-01-02,2021-02-06,온라인결제,,,,15273
4,987284,35호,좌석매출,매출,포커스석,1,0,70000,카드,롯데카드사,70000,0,2021-01-01,2021-01-02,2021-02-06,온라인결제,,,,15273
5,987285,35호,좌석매출,매출,포커스석,1,0,130000,카드,신한카드,0,130000,2021-01-01,2021-01-01,2021-02-04,온라인결제,,,,15374
6,987285,35호,좌석매출,매출,포커스석,1,0,70000,카드,신한카드,70000,0,2021-01-01,2021-01-01,2021-02-04,온라인결제,,,,15374
7,987287,11호,좌석매출,매출,자유석,1,0,145000,카드,KB국민카드,0,145000,2021-01-01,2021-01-02,2021-01-31,온라인결제,,,,4594
8,987287,11호,좌석매출,매출,자유석,1,0,15000,카드,KB국민카드,15000,0,2021-01-01,2021-01-02,2021-01-31,온라인결제,,,,4594
9,987288,14호,좌석매출,매출,자유석,3,24750,390000,카드,신한카드,0,390000,2021-01-01,2021-01-01,2021-03-31,온라인결제,,,,6223
10,987288,14호,좌석매출,매출,자유석,3,24750,80250,카드,신한카드,80250,0,2021-01-01,2021-01-01,2021-03-31,온라인결제,,,,6223
11,987290,36호,좌석매출,매출,자유석,1,0,130000,카드,하나카드,0,130000,2021-01-01,2021-01-01,2021-02-01,온라인결제,,,관리형 독서실 등록 혜택 +2일 제공,15743
12,987290,36호,좌석매출,매출,자유석,1,0,5000,카드,하나카드,5000,0,2021-01-01,2021-01-01,2021-02-01,온라인결제,,,관리형 독서실 등록 혜택 +2일 제공,15743
13,987291,11호,좌석매출,매출,포커스석,1,0,145000,카드,KB국민카드,0,145000,2021-01-01,2021-01-02,2021-01-31,온라인결제,,,,4594
14,987291,11호,좌석매출,매출,포커스석,1,0,15000,카드,KB국민카드,15000,0,2021-01-01,2021-01-02,2021-01-31,온라인결제,,,,4594
15,987293,29호,좌석매출,매출,포커스석,1,0,109400,카드,롯데카드사,0,109400,2021-01-01,2021-01-01,2021-01-30,온라인결제,,,,12543
16,987293,29호,좌석매출,매출,포커스석,1,0,40600,카드,롯데카드사,40600,0,2021-01-01,2021-01-01,2021-01-30,온라인결제,,,,12543
17,987294,19호,좌석매출,매출,포커스석,1,0,145600,카드,하나카드,0,145600,2021-01-01,2021-01-02,2021-01-31,온라인결제,,,,7768
18,987294,19호,좌석매출,매출,포커스석,1,0,24400,카드,하나카드,24400,0,2021-01-01,2021-01-02,2021-01-31,온라인결제,,,,7768
19,987295,22호,좌석매출,매출,고정석,1,0,135000,카드,삼성카드사,0,135000,2021-01-01,2021-01-01,2021-01-30,온라인결제,,,,9222
20,987295,22호,좌석매출,매출,고정석,1,0,35000,카드,삼성카드사,35000,0,2021-01-01,2021-01-01,2021-01-30,온라인결제,,,,9222
21,987345,15호,좌석매출,매출,자유석,1,0,145000,카드,삼성카드사,0,145000,2021-01-01,2021-01-01,2021-01-30,온라인결제,,,,6386
22,987346,08호,좌석매출,매출,1day,0,0,9000,카드,롯데카드사,0,9000,2021-01-01,2021-01-01,2021-01-01,온라인결제,,,,2879
23,987346,08호,좌석매출,매출,1day,0,0,5000,카드,롯데카드사,5000,0,2021-01-01,2021-01-01,2021-01-01,온라인결제,,,,2879
24,987348,37호,좌석매출,매출,포커스석,1,0,145000,카드,하나카드,0,145000,2021-01-01,2021-01-01,2021-01-30,온라인결제,,,,16166
25,987348,37호,좌석매출,매출,포커스석,1,0,35000,카드,하나카드,35000,0,2021-01-01,2021-01-01,2021-01-30,온라인결제,,,,16166
26,987359,34호,좌석매출,매출,포커스석,1,0,135000,카드,KB국민카드,0,135000,2021-01-01,2021-01-01,2021-01-30,온라인결제,,,,14961
27,987359,34호,좌석매출,매출,포커스석,1,0,10000,카드,KB국민카드,10000,0,2021-01-01,2021-01-01,2021-01-30,온라인결제,,,,14961
28,987361,23호,좌석매출,매출,1day,0,0,9000,카드,삼성 마스타,0,9000,2021-01-01,2021-01-01,2021-01-01,키오스크결제,,,,9474
29,987361,23호,좌석매출,매출,1day,0,0,6000,카드,삼성 마스타,6000,0,2021-01-01,2021-01-01,2021-01-01,키오스크결제,,,,9474
30,987364,05호,좌석매출,매출,1day,0,0,9000,카드,KB국민카드,0,9000,2021-01-01,2021-01-01,2021-01-01,키오스크결제,,,,1989
31,987364,05호,좌석매출,매출,1day,0,0,6000,카드,KB국민카드,6000,0,2021-01-01,2021-01-01,2021-01-01,키오스크결제,,,,1989
32,987366,23호,좌석매출,매출,1day,0,0,9000,카드,롯데카드사,0,9000,2021-01-01,2021-01-01,2021-01-01,온라인결제,,,,9477
33,987366,23호,좌석매출,매출,1day,0,0,6000,카드,롯데카드사,6000,0,2021-01-01,2021-01-01,2021-01-01,온라인결제,,,,9477
34,987371,14호,좌석매출,매출,고정석,1,0,130000,카드,현대카드사,0,130000,2021-01-01,2021-01-02,2021-01-31,온라인결제,,,,6207
35,987371,14호,좌석매출,매출,고정석,1,0,65000,카드,현대카드사,65000,0,2021-01-01,2021-01-02,2021-01-31,온라인결제,,,,6207
36,987372,10호,좌석매출,매출,포커스석,1,0,144000,카드,삼성 마스타,0,144000,2021-01-01,2021-01-01,2021-02-01,키오스크결제,,,이용기간 +1일(AM님 승인)->온라인 환불불가->지점에서 1일 차액결제분,4163
37,987372,10호,좌석매출,매출,포커스석,1,0,26000,카드,삼성 마스타,26000,0,2021-01-01,2021-01-01,2021-02-01,키오스크결제,,,이용기간 +1일(AM님 승인)->온라인 환불불가->지점에서 1일 차액결제분,4163
38,987382,31호,좌석매출,매출,고정석,1,0,110800,카드,KB국민카드,0,110800,2021-01-01,2021-01-02,2021-01-31,온라인결제,,,,13791
39,987382,31호,좌석매출,매출,고정석,1,0,89200,카드,KB국민카드,89200,0,2021-01-01,2021-01-02,2021-01-31,온라인결제,,,,13791
40,987393,13호,좌석매출,매출,자유석,1,0,178000,카드,신한카드,0,178000,2021-01-01,2021-01-01,2021-01-30,온라인결제,,,,5823
41,987393,13호,좌석매출,매출,자유석,1,0,42000,카드,신한카드,42000,0,2021-01-01,2021-01-01,2021-01-30,온라인결제,,,,5823
