번호,매출키,지점,구분,매출구분,이용항목,이용개월,할인금액,결제금액,결제수단,카드사,"결제금액
과세","결제금액
면세",결제일,이용시작일,이용종료일,결제구분,제휴쿠폰(주문)번호,프로모션 할인,기타 특이사항,회원키
1,1083062,30호,좌석매출,매출,자유석,1,0,110800,카드,신한카드,0,110800,2021-05-01,2021-05-01,2021-05-30,온라인결제,,,,12948
2,1083062,30호,좌석매출,매출,자유석,1,0,59200,카드,신한카드,59200,0,2021-05-01,2021-05-01,2021-05-30,온라인결제,,,,12948
3,1083065,29호,좌석매출,매출,포커스석,1,0,109400,카드,삼성카드,0,109400,2021-05-01,2021-05-03,2021-06-01,키오스크결제,,,,12338
4,1083065,29호,좌석매출,매출,포커스석,1,0,80600,카드,삼성카드,80600,0,2021-05-01,2021-05-03,2021-06-01,키오스크결제,,,,12338
5,1083066,12호,좌석매출,매출,자유석,1,0,144000,카드,신한카드체크,0,144000,2021-05-01,2021-05-01,2021-05-30,키오스크결제,,,,5287
6,1083066,12호,좌석매출,매출,자유석,1,0,46000,카드,신한카드체크,46000,0,2021-05-01,2021-05-01,2021-05-30,키오스크결제,,,,5287
7,1083068,31호,좌석매출,매출,자유석,1,0,110800,카드,비씨카드사,0,110800,2021-05-01,2021-05-02,2021-06-14,온라인결제,,,,13096
8,1083068,31호,좌석매출,매출,자유석,1,0,59200,카드,비씨카드사,59200,0,2021-05-01,2021-05-02,2021-06-14,온라인결제,,,,13096
9,1083069,31호,좌석매출,매출,포커스석,1,0,110800,카드,하나카드,0,110800,2021-05-01,2021-05-01,2021-05-30,키오스크결제,,,,13430
10,1083069,31호,좌석매출,매출,포커스석,1,0,99200,카드,하나카드,99200,0,2021-05-01,2021-05-01,2021-05-30,키오스크결제,,,,13430
11,1083070,25호,좌석매출,매출,1day,0,0,9000,카드,신한JCB개인,0,9000,2021-05-01,2021-05-01,2021-05-01,키오스크결제,,,,10362
12,1083070,25호,좌석매출,매출,1day,0,0,4000,카드,신한JCB개인,4000,0,2021-05-01,2021-05-01,2021-05-01,키오스크결제,,,,10362
13,1083071,24호,좌석매출,매출,1day,0,0,8000,카드,하나카드,0,8000,2021-05-01,2021-05-01,2021-05-01,키오스크결제,,,,9945
14,1083071,24호,좌석매출,매출,1day,0,0,4000,카드,하나카드,4000,0,2021-05-01,2021-05-01,2021-05-01,키오스크결제,,,,9945
15,1083133,42호,좌석매출,매출,자유석,3,24000,300000,카드,KB국민카드,0,300000,2021-05-01,2021-05-01,2021-07-30,온라인결제,,,,18923
16,1083133,42호,좌석매출,매출,자유석,3,24000,156000,카드,KB국민카드,156000,0,2021-05-01,2021-05-01,2021-07-30,온라인결제,,,,18923
17,1083177,42호,좌석매출,매출취소,자유석,3,-24000,-300000,카드,KB국민카드,0,-300000,2021-05-01,2021-05-01,2021-07-30,온라인결제,,,,18923
18,1083177,42호,좌석매출,매출취소,자유석,3,-24000,-156000,카드,KB국민카드,-156000,0,2021-05-01,2021-05-01,2021-07-30,온라인결제,,,,18923
19,1083187,33호,좌석매출,매출,메가석,1,0,144000,카드,신한카드,0,144000,2021-05-01,2021-05-01,2021-05-30,온라인결제,,,,14570
20,1083187,33호,좌석매출,매출,메가석,1,0,91000,카드,신한카드,91000,0,2021-05-01,2021-05-01,2021-05-30,온라인결제,,,,14570
21,1083188,13호,좌석매출,매출,고정석,1,0,178000,카드,신한카드,0,178000,2021-05-01,2021-05-02,2021-05-31,온라인결제,,,,5812
22,1083188,13호,좌석매출,매출,고정석,1,0,72000,카드,신한카드,72000,0,2021-05-01,2021-05-02,2021-05-31,온라인결제,,,,5812
23,1083221,06호,좌석매출,매출,자유석,1,0,144000,카드,현대 마스터,0,144000,2021-05-01,2021-05-01,2021-05-30,키오스크결제,,,,2094
24,1083221,06호,좌석매출,매출,자유석,1,0,71000,카드,현대 마스터,71000,0,2021-05-01,2021-05-01,2021-05-30,키오스크결제,,,,2094
25,1083222,12호,좌석매출,매출,자유석,1,0,144000,카드,KB국민카드,0,144000,2021-05-01,2021-05-05,2021-06-03,온라인결제,,,,4905
26,1083222,12호,좌석매출,매출,자유석,1,0,46000,카드,KB국민카드,46000,0,2021-05-01,2021-05-05,2021-06-03,온라인결제,,,,4905
27,1083235,39호,좌석매출,매출,자유석,6,93000,664800,카드,롯데카드,0,664800,2021-05-01,2021-05-01,2021-10-27,키오스크결제,,,,17405
28,1083235,39호,좌석매출,매출,자유석,6,93000,172200,카드,롯데카드,172200,0,2021-05-01,2021-05-01,2021-10-27,키오스크결제,,,,17405
29,1083241,12호,좌석매출,매출,1day,0,0,9000,카드,우리카드,0,9000,2021-05-01,2021-05-01,2021-05-01,키오스크결제,,,,5296
30,1083241,12호,좌석매출,매출,1day,0,0,6000,카드,우리카드,6000,0,2021-05-01,2021-05-01,2021-05-01,키오스크결제,,,,5296
31,1083245,23호,좌석매출,매출,자유석,3,30750,432000,카드,현대비자개인,0,432000,2021-05-01,2021-05-05,2021-08-04,키오스크결제,,,,9733
32,1083245,23호,좌석매출,매출,자유석,3,30750,152250,카드,현대비자개인,152250,0,2021-05-01,2021-05-05,2021-08-04,키오스크결제,,,,9733
33,1083247,23호,좌석매출,매출,1day,0,0,9000,카드,삼성아멕스,0,9000,2021-05-01,2021-05-01,2021-05-01,키오스크결제,,,,9551
34,1083247,23호,좌석매출,매출,1day,0,0,6000,카드,삼성아멕스,6000,0,2021-05-01,2021-05-01,2021-05-01,키오스크결제,,,,9551
35,1083249,12호,좌석매출,매출,1day,0,0,9000,카드,하나SK비씨카드,0,9000,2021-05-01,2021-05-01,2021-05-01,키오스크결제,,,,5193
36,1083249,12호,좌석매출,매출,1day,0,0,6000,카드,하나SK비씨카드,6000,0,2021-05-01,2021-05-01,2021-05-01,키오스크결제,,,,5193
37,1083252,13호,좌석매출,매출,1day,0,0,9000,카드,신한카드,0,9000,2021-05-01,2021-05-01,2021-05-01,키오스크결제,,,,5847
38,1083252,13호,좌석매출,매출,1day,0,0,6000,카드,신한카드,6000,0,2021-05-01,2021-05-01,2021-05-01,키오스크결제,,,,5847
39,1083254,19호,좌석매출,매출,포커스석,2,0,145600,카드,신한카드,0,145600,2021-05-01,2021-04-02,2021-05-01,온라인결제,,,재결제 매출,7560
40,1083254,19호,좌석매출,매출,포커스석,2,0,24400,카드,신한카드,24400,0,2021-05-01,2021-04-02,2021-05-01,온라인결제,,,재결제 매출,7560
41,1083255,19호,좌석매출,매출취소,포커스석,2,0,-291200,카드,신한카드,0,-291200,2021-05-01,2021-04-02,2021-05-31,온라인결제,,,,7560
42,1083255,19호,좌석매출,매출취소,포커스석,2,0,-48800,카드,신한카드,-48800,0,2021-05-01,2021-04-02,2021-05-31,온라인결제,,,,7560
43,1083256,04호,좌석매출,매출,1day,0,0,9000,카드,KB국민카드,0,9000,2021-05-01,2021-05-01,2021-05-01,키오스크결제,,,,1255
44,1083256,04호,좌석매출,매출,1day,0,0,6000,카드,KB국민카드,6000,0,2021-05-01,2021-05-01,2021-05-01,키오스크결제,,,,1255
45,1083257,17호,좌석매출,매출,자유석,1,0,144000,카드,우리체크,0,144000,2021-05-01,2021-05-02,2021-05-31,키오스크결제,,,,6960
46,1083257,17호,좌석매출,매출,자유석,1,0,26000,카드,우리체크,26000,0,2021-05-01,2021-05-02,2021-05-31,키오스크결제,,,,6960
47,1083259,09호,좌석매출,매출,자유석,1,0,178000,카드,롯데카드사,0,178000,2021-05-01,2021-05-03,2021-06-01,온라인결제,,,,3522
48,1083259,09호,좌석매출,매출,자유석,1,0,52000,카드,롯데카드사,52000,0,2021-05-01,2021-05-03,2021-06-01,온라인결제,,,,3522
49,1083260,11호,좌석매출,매출,자유석,1,0,145000,카드,하나카드,0,145000,2021-05-01,2021-05-01,2021-05-30,키오스크결제,,,,4720
50,1083260,11호,좌석매출,매출,자유석,1,0,15000,카드,하나카드,15000,0,2021-05-01,2021-05-01,2021-05-30,키오스크결제,,,,4720
51,1083261,01호,좌석매출,매출,1day,0,0,9000,카드,삼성 마스타,0,9000,2021-05-01,2021-05-01,2021-05-01,키오스크결제,,,,48
52,1083261,01호,좌석매출,매출,1day,0,0,4000,카드,삼성 마스타,4000,0,2021-05-01,2021-05-01,2021-05-01,키오스크결제,,,,48
53,1083262,22호,좌석매출,매출,고정석,1,0,135000,카드,NH농협카드,0,135000,2021-05-01,2021-05-05,2021-06-03,온라인결제,,,,9376
54,1083262,22호,좌석매출,매출,고정석,1,0,35000,카드,NH농협카드,35000,0,2021-05-01,2021-05-05,2021-06-03,온라인결제,,,,9376
55,1083263,02호,좌석매출,매출,고정석,1,0,178000,카드,비씨카드사,0,178000,2021-05-01,2021-05-04,2021-06-02,온라인결제,,,,554
56,1083263,02호,좌석매출,매출,고정석,1,0,47000,카드,비씨카드사,47000,0,2021-05-01,2021-05-04,2021-06-02,온라인결제,,,,554
57,1083264,28호,좌석매출,매출,자유석,1,0,144000,카드,하나카드,0,144000,2021-05-01,2021-05-01,2021-05-30,온라인결제,,,,12160
58,1083264,28호,좌석매출,매출,자유석,1,0,16000,카드,하나카드,16000,0,2021-05-01,2021-05-01,2021-05-30,온라인결제,,,,12160
59,1083265,13호,좌석매출,매출,1day,0,0,9000,카드,하나카드,0,9000,2021-05-01,2021-05-01,2021-05-01,키오스크결제,,,,5455
60,1083265,13호,좌석매출,매출,1day,0,0,6000,카드,하나카드,6000,0,2021-05-01,2021-05-01,2021-05-01,키오스크결제,,,,5455
