번호,매출키,지점,구분,매출구분,이용항목,이용개월,할인금액,결제금액,결제수단,카드사,"결제금액
과세","결제금액
면세",결제일,이용시작일,이용종료일,결제구분,제휴쿠폰(주문)번호,프로모션 할인,기타 특이사항,회원키
41,1031269,37호,좌석매출,매출,싱글석,1,0,65000,카드,삼성카드사,65000,0,2021-03-01,2021-03-03,2021-04-01,온라인결제,,,,16199
42,1031270,35호,좌석매출,매출,1day,0,0,7000,카드,SC비씨카드,0,7000,2021-03-01,2021-03-01,2021-03-01,키오스크결제,,,,15643
43,1031270,35호,좌석매출,매출,1day,0,0,6000,카드,SC비씨카드,6000,0,2021-03-01,2021-03-01,2021-03-01,키오스크결제,,,,15643
44,1031282,23호,좌석매출,매출,자유석,1,0,144000,카드,하나카드,0,144000,2021-03-01,2021-03-01,2021-04-13,키오스크결제,,,,9725
45,1031282,23호,좌석매출,매출,자유석,1,0,61000,카드,하나카드,61000,0,2021-03-01,2021-03-01,2021-04-13,키오스크결제,,,,9725
46,1031302,22호,좌석매출,매출,고정석,1,0,135000,카드,삼성카드사,0,135000,2021-03-01,2021-03-02,2021-03-31,온라인결제,,,,9222
47,1031302,22호,좌석매출,매출,고정석,1,0,35000,카드,삼성카드사,35000,0,2021-03-01,2021-03-02,2021-03-31,온라인결제,,,,9222
48,1031303,22호,좌석매출,매출,고정석,1,0,135000,카드,삼성카드사,0,135000,2021-03-01,2021-03-02,2021-03-31,온라인결제,,,,9222
49,1031303,22호,좌석매출,매출,고정석,1,0,35000,카드,삼성카드사,35000,0,2021-03-01,2021-03-02,2021-03-31,온라인결제,,,,9222
50,1031312,22호,좌석매출,매출취소,고정석,1,0,-135000,카드,삼성카드사,0,-135000,2021-03-01,2021-03-02,2021-03-31,온라인결제,,,,9222
51,1031312,22호,좌석매출,매출취소,고정석,1,0,-35000,카드,삼성카드사,-35000,0,2021-03-01,2021-03-02,2021-03-31,온라인결제,,,,9222
52,1031316,39호,좌석매출,매출,자유석,1,0,110800,카드,카카오뱅크체크,0,110800,2021-03-01,2021-03-01,2021-03-30,키오스크결제,,,,17394
53,1031316,39호,좌석매출,매출,자유석,1,0,44200,카드,카카오뱅크체크,44200,0,2021-03-01,2021-03-01,2021-03-30,키오스크결제,,,,17394
54,1031317,06호,좌석매출,매출,자유석,1,0,144000,카드,현대 카드,0,144000,2021-03-01,2021-03-01,2021-03-30,키오스크결제,,,,2013
55,1031317,06호,좌석매출,매출,자유석,1,0,71000,카드,현대 카드,71000,0,2021-03-01,2021-03-01,2021-03-30,키오스크결제,,,,2013
56,1031318,20호,좌석매출,매출,자유석,1,0,130000,카드,삼성비자,0,130000,2021-03-01,2021-03-01,2021-03-30,키오스크결제,,,,8161
57,1031318,20호,좌석매출,매출,자유석,1,0,45000,카드,삼성비자,45000,0,2021-03-01,2021-03-01,2021-03-30,키오스크결제,,,,8161
58,1031323,42호,좌석매출,매출,셀석,1,0,100000,카드,우리카드,0,100000,2021-03-01,2021-03-05,2021-04-03,키오스크결제,,,,18589
59,1031323,42호,좌석매출,매출,셀석,1,0,70000,카드,우리카드,70000,0,2021-03-01,2021-03-05,2021-04-03,키오스크결제,,,,18589
60,1031324,20호,좌석매출,매출,포커스석,1,0,130000,카드,NH농협카드,0,130000,2021-03-01,2021-03-05,2021-04-03,온라인결제,,,,8108
61,1031324,20호,좌석매출,매출,포커스석,1,0,45000,카드,NH농협카드,45000,0,2021-03-01,2021-03-05,2021-04-03,온라인결제,,,,8108
62,1031326,06호,좌석매출,매출,자유석,1,0,144000,카드,롯데카드,0,144000,2021-03-01,2021-03-02,2021-03-31,키오스크결제,,,,2329
63,1031326,06호,좌석매출,매출,자유석,1,0,71000,카드,롯데카드,71000,0,2021-03-01,2021-03-02,2021-03-31,키오스크결제,,,,2329
64,1031327,25호,좌석매출,매출,1day,0,0,9000,카드,신한카드체크,0,9000,2021-03-01,2021-03-01,2021-03-01,키오스크결제,,,,10410
65,1031327,25호,좌석매출,매출,1day,0,0,4000,카드,신한카드체크,4000,0,2021-03-01,2021-03-01,2021-03-01,키오스크결제,,,,10410
66,1031329,13호,좌석매출,매출,1day,0,0,9000,카드,신한카드체크,0,9000,2021-03-01,2021-03-01,2021-03-01,키오스크결제,,,,5612
67,1031329,13호,좌석매출,매출,1day,0,0,6000,카드,신한카드체크,6000,0,2021-03-01,2021-03-01,2021-03-01,키오스크결제,,,,5612
68,1031339,31호,좌석매출,매출,자유석,1,0,110800,카드,삼성 마스타,0,110800,2021-03-01,2021-03-01,2021-03-30,키오스크결제,,,,13665
69,1031339,31호,좌석매출,매출,자유석,1,0,59200,카드,삼성 마스타,59200,0,2021-03-01,2021-03-01,2021-03-30,키오스크결제,,,,13665
70,1031341,24호,좌석매출,매출,고정석,1,0,120000,카드,KB국민카드,0,120000,2021-03-01,2021-03-01,2021-03-30,키오스크결제,,,,10077
71,1031341,24호,좌석매출,매출,고정석,1,0,55000,카드,KB국민카드,55000,0,2021-03-01,2021-03-01,2021-03-30,키오스크결제,,,,10077
72,1031343,12호,좌석매출,매출,자유석,1,0,144000,카드,KB국민카드,0,144000,2021-03-01,2021-03-01,2021-03-31,키오스크결제,,,,4911
73,1031343,12호,좌석매출,매출,자유석,1,0,46000,카드,KB국민카드,46000,0,2021-03-01,2021-03-01,2021-03-31,키오스크결제,,,,4911
74,1031344,30호,좌석매출,매출,자유석,1,0,110800,카드,NH농협카드,0,110800,2021-03-01,2021-03-01,2021-03-30,온라인결제,,,,12737
75,1031344,30호,좌석매출,매출,자유석,1,0,59200,카드,NH농협카드,59200,0,2021-03-01,2021-03-01,2021-03-30,온라인결제,,,,12737
76,1031345,05호,좌석매출,매출,1day,0,0,9000,카드,롯데카드,0,9000,2021-03-01,2021-03-01,2021-03-01,키오스크결제,,,,1810
77,1031345,05호,좌석매출,매출,1day,0,0,6000,카드,롯데카드,6000,0,2021-03-01,2021-03-01,2021-03-01,키오스크결제,,,,1810
78,1031346,10호,좌석매출,매출,자유석,1,0,144000,카드,KB체크카드,0,144000,2021-03-01,2021-03-01,2021-03-31,키오스크결제,,,,3894
79,1031346,10호,좌석매출,매출,자유석,1,0,26000,카드,KB체크카드,26000,0,2021-03-01,2021-03-01,2021-03-31,키오스크결제,,,,3894
80,1031349,11호,좌석매출,매출,1day,0,0,9000,카드,신한카드,0,9000,2021-03-01,2021-03-01,2021-03-01,키오스크결제,,,,4666
81,1031349,11호,좌석매출,매출,1day,0,0,2000,카드,신한카드,2000,0,2021-03-01,2021-03-01,2021-03-01,키오스크결제,,,,4666
82,1031350,31호,좌석매출,매출,집중관리반(포커스석),1,0,110800,카드,신한카드,0,110800,2021-03-01,2021-03-01,2021-03-30,키오스크결제,,,,13552
83,1031350,31호,좌석매출,매출,집중관리반(포커스석),1,0,59200,카드,신한카드,59200,0,2021-03-01,2021-03-01,2021-03-30,키오스크결제,,,,13552
84,1031351,10호,좌석매출,매출,자유석,1,0,144000,카드,삼성 마스타,0,144000,2021-03-01,2021-03-01,2021-03-31,키오스크결제,,,,3935
85,1031351,10호,좌석매출,매출,자유석,1,0,26000,카드,삼성 마스타,26000,0,2021-03-01,2021-03-01,2021-03-31,키오스크결제,,,,3935
86,1031352,21호,좌석매출,매출,포커스석,1,0,144000,카드,우리체크,0,144000,2021-03-01,2021-03-01,2021-03-31,키오스크결제,,,,8925
87,1031352,21호,좌석매출,매출,포커스석,1,0,56000,카드,우리체크,56000,0,2021-03-01,2021-03-01,2021-03-31,키오스크결제,,,,8925
88,1031354,05호,좌석매출,매출,자유석,1,0,144000,카드,하나카드,0,144000,2021-03-01,2021-03-01,2021-03-30,키오스크결제,,,,1834
89,1031354,05호,좌석매출,매출,자유석,1,0,31000,카드,하나카드,31000,0,2021-03-01,2021-03-01,2021-03-30,키오스크결제,,,,1834
90,1031356,02호,좌석매출,매출,1day,0,0,9000,카드,신한VIP카드,0,9000,2021-03-01,2021-03-01,2021-03-01,키오스크결제,,,,533
91,1031356,02호,좌석매출,매출,1day,0,0,5000,카드,신한VIP카드,5000,0,2021-03-01,2021-03-01,2021-03-01,키오스크결제,,,,533
92,1031360,04호,좌석매출,매출,포커스석,1,0,178000,카드,신한카드,0,178000,2021-03-01,2021-03-02,2021-03-31,키오스크결제,,,,1561
93,1031360,04호,좌석매출,매출,포커스석,1,0,82000,카드,신한카드,82000,0,2021-03-01,2021-03-02,2021-03-31,키오스크결제,,,,1561
94,1031362,35호,좌석매출,매출,자유석,1,0,130000,카드,삼성 마스타,0,130000,2021-03-01,2021-03-01,2021-03-30,키오스크결제,,,,15496
95,1031362,35호,좌석매출,매출,자유석,1,0,70000,카드,삼성 마스타,70000,0,2021-03-01,2021-03-01,2021-03-30,키오스크결제,,,,15496
96,1031363,07호,좌석매출,매출,자유석,1,0,178000,카드,비씨카드사,0,178000,2021-03-01,2021-03-01,2021-03-31,온라인결제,,,,2425
97,1031363,07호,좌석매출,매출,자유석,1,0,67000,카드,비씨카드사,67000,0,2021-03-01,2021-03-01,2021-03-31,온라인결제,,,,2425
98,1031365,37호,좌석매출,매출,제휴_자유석,1,0,145000,카드,KB국민카드,0,145000,2021-03-01,2021-03-03,2021-04-01,키오스크결제,,,,16561
99,1031365,37호,좌석매출,매출,제휴_자유석,1,0,17000,카드,KB국민카드,17000,0,2021-03-01,2021-03-03,2021-04-01,키오스크결제,,,,16561
100,1031366,03호,좌석매출,매출,1day,0,0,9000,카드,신한카드,0,9000,2021-03-01,2021-03-01,2021-03-01,키오스크결제,,,,899
101,1031366,03호,좌석매출,매출,1day,0,0,6000,카드,신한카드,6000,0,2021-03-01,2021-03-01,2021-03-01,키오스크결제,,,,899
102,1031370,25호,좌석매출,매출,포커스석,1,0,145000,카드,하나카드,0,145000,2021-03-01,2021-03-03,2021-03-30,온라인결제,,,,10314
103,1031370,25호,좌석매출,매출,포커스석,1,0,35000,카드,하나카드,35000,0,2021-03-01,2021-03-03,2021-03-30,온라인결제,,,,10314
104,1031371,28호,좌석매출,매출,1day,0,0,9000,카드,롯데카드,0,9000,2021-03-01,2021-03-01,2021-03-01,키오스크결제,,,,11985
105,1031371,28호,좌석매출,매출,1day,0,0,4000,카드,롯데카드,4000,0,2021-03-01,2021-03-01,2021-03-01,키오스크결제,,,,11985
106,1031373,37호,좌석매출,매출,1day,0,0,9000,카드,현대 카드,0,9000,2021-03-01,2021-03-01,2021-03-01,키오스크결제,,,,16204
107,1031373,37호,좌석매출,매출,1day,0,0,4000,카드,현대 카드,4000,0,2021-03-01,2021-03-01,2021-03-01,키오스크결제,,,,16204
108,1031380,42호,좌석매출,매출,포커스석,1,0,100000,카드,하나카드,0,100000,2021-03-01,2021-03-02,2021-03-31,현장결제,,,,18897
109,1031380,42호,좌석매출,매출,포커스석,1,0,60000,카드,하나카드,60000,0,2021-03-01,2021-03-02,2021-03-31,현장결제,,,,18897
110,1031383,02호,좌석매출,매출,포커스석,1,0,178000,카드,하나카드,0,178000,2021-03-01,2021-03-01,2021-03-31,키오스크결제,,,,605
111,1031383,02호,좌석매출,매출,포커스석,1,0,17000,카드,하나카드,17000,0,2021-03-01,2021-03-01,2021-03-31,키오스크결제,,,,605
112,1031386,17호,좌석매출,매출,포커스석,1,0,144000,카드,신한카드체크,0,144000,2021-03-01,2021-03-04,2021-04-02,키오스크결제,,,,6850
113,1031386,17호,좌석매출,매출,포커스석,1,0,26000,카드,신한카드체크,26000,0,2021-03-01,2021-03-04,2021-04-02,키오스크결제,,,,6850
114,1031396,33호,좌석매출,매출,메가석,1,0,144000,카드,비씨카드사,0,144000,2021-03-01,2021-03-02,2021-04-03,온라인결제,,,,14323
115,1031396,33호,좌석매출,매출,메가석,1,0,51000,카드,비씨카드사,51000,0,2021-03-01,2021-03-02,2021-04-03,온라인결제,,,,14323
116,1031403,24호,좌석매출,매출,고정석,1,0,120000,카드,현대카드사,0,120000,2021-03-01,2021-03-03,2021-04-01,온라인결제,,,,9950
117,1031403,24호,좌석매출,매출,고정석,1,0,55000,카드,현대카드사,55000,0,2021-03-01,2021-03-03,2021-04-01,온라인결제,,,,9950
118,1031404,38호,좌석매출,매출,자유석,1,0,125000,카드,KB국민카드,0,125000,2021-03-01,2021-03-01,2021-03-31,키오스크결제,,,,16694
119,1031409,35호,좌석매출,매출,포커스석,1,0,130000,카드,신한카드,0,130000,2021-03-01,2021-03-01,2021-03-30,온라인결제,,,,15521
120,1031409,35호,좌석매출,매출,포커스석,1,0,70000,카드,신한카드,70000,0,2021-03-01,2021-03-01,2021-03-30,온라인결제,,,,15521
121,1031411,35호,좌석매출,매출,1day,0,0,7000,카드,현대로컬개인,0,7000,2021-03-01,2021-03-01,2021-03-01,키오스크결제,,,,15504
122,1031411,35호,좌석매출,매출,1day,0,0,6000,카드,현대로컬개인,6000,0,2021-03-01,2021-03-01,2021-03-01,키오스크결제,,,,15504
123,1031413,38호,좌석매출,매출,자유석,1,0,125000,카드,삼성카드사,0,125000,2021-03-01,2021-03-02,2021-03-31,온라인결제,,,,16658
124,1031414,08호,좌석매출,매출,자유석,1,0,145000,카드,삼성 마스타,0,145000,2021-03-01,2021-03-01,2021-03-30,키오스크결제,,,,3226
125,1031414,08호,좌석매출,매출,자유석,1,0,35000,카드,삼성 마스타,35000,0,2021-03-01,2021-03-01,2021-03-30,키오스크결제,,,,3226
126,1031415,11호,좌석매출,매출,고정석,1,0,145000,카드,하나체크카드,0,145000,2021-03-01,2021-03-02,2021-03-31,키오스크결제,,,,4492
127,1031415,11호,좌석매출,매출,고정석,1,0,45000,카드,하나체크카드,45000,0,2021-03-01,2021-03-02,2021-03-31,키오스크결제,,,,4492
128,1031417,26호,좌석매출,매출,포커스석,1,0,178000,카드,신한카드,0,178000,2021-03-01,2021-03-03,2021-04-01,키오스크결제,,,,10784
