번호,매출키,지점,구분,매출구분,이용항목,이용개월,할인금액,결제금액,결제수단,카드사,"결제금액
과세","결제금액
면세",결제일,이용시작일,이용종료일,결제구분,제휴쿠폰(주문)번호,프로모션 할인,기타 특이사항,회원키
1,1210782,15호,좌석매출,매출,싱글석,1,0,161900,카드,하나카드,0,161900,2021-09-01,2021-09-01,2021-09-30,온라인결제,,,,6524
2,1210782,15호,좌석매출,매출,싱글석,1,0,53100,카드,하나카드,53100,0,2021-09-01,2021-09-01,2021-09-30,온라인결제,,,,6524
3,1210785,10호,좌석매출,매출,자유석,1,0,144000,카드,롯데카드사,0,144000,2021-09-01,2021-09-01,2021-09-30,온라인결제,,,,4135
4,1210785,10호,좌석매출,매출,자유석,1,0,26000,카드,롯데카드사,26000,0,2021-09-01,2021-09-01,2021-09-30,온라인결제,,,,4135
5,1210787,41호,좌석매출,매출,사물함,0,0,14500,카드,비씨카드사,14500,0,2021-09-01,2021-09-01,2021-09-01,온라인결제,,,,17871
6,1210819,07호,좌석매출,매출,자유석,1,0,178000,카드,KB국민카드,0,178000,2021-09-01,2021-09-02,2021-10-01,온라인결제,,,,2507
7,1210819,07호,좌석매출,매출,자유석,1,0,67000,카드,KB국민카드,67000,0,2021-09-01,2021-09-02,2021-10-01,온라인결제,,,,2507
8,1210822,38호,좌석매출,매출,자유석,1,0,125000,카드,삼성카드사,0,125000,2021-09-01,2021-09-01,2021-09-30,온라인결제,,,,16903
9,1210839,18호,좌석매출,매출,싱글석,1,0,158050,카드,롯데카드사,0,158050,2021-09-01,2021-09-04,2021-10-03,온라인결제,,,,7121
10,1210839,18호,좌석매출,매출,싱글석,1,0,66950,카드,롯데카드사,66950,0,2021-09-01,2021-09-04,2021-10-03,온라인결제,,,,7121
11,1210841,37호,좌석매출,매출,사물함,0,0,15000,카드,롯데카드사,15000,0,2021-09-01,2021-09-01,2021-09-01,온라인결제,,,,16272
12,1210862,18호,좌석매출,매출,관리자유석,1,0,158050,카드,신한카드,0,158050,2021-09-01,2021-09-02,2021-10-01,온라인결제,,,,7084
13,1210862,18호,좌석매출,매출,관리자유석,1,0,16950,카드,신한카드,16950,0,2021-09-01,2021-09-02,2021-10-01,온라인결제,,,,7084
14,1210864,33호,좌석매출,매출,관리자유석,1,0,144000,카드,현대 마스터,0,144000,2021-09-01,2021-09-01,2021-09-30,키오스크결제,,,,14407
15,1210864,33호,좌석매출,매출,관리자유석,1,0,41000,카드,현대 마스터,41000,0,2021-09-01,2021-09-01,2021-09-30,키오스크결제,,,,14407
16,1210879,03호,좌석매출,매출,10days,1,0,90000,카드,신한카드체크,0,90000,2021-09-01,2021-09-01,2021-09-10,키오스크결제,,,,1059
17,1210879,03호,좌석매출,매출,10days,1,0,40000,카드,신한카드체크,40000,0,2021-09-01,2021-09-01,2021-09-10,키오스크결제,,,,1059
18,1210882,42호,좌석매출,매출,관리자유석,1,0,100000,카드,NH농협비씨체크,0,100000,2021-09-01,2021-09-03,2021-10-02,현장결제,,,,18759
19,1210882,42호,좌석매출,매출,관리자유석,1,0,80000,카드,NH농협비씨체크,80000,0,2021-09-01,2021-09-03,2021-10-02,현장결제,,,,18759
20,1210887,37호,좌석매출,매출,15days,2,0,130800,카드,신한카드,0,130800,2021-09-01,2021-09-02,2021-10-31,온라인결제,,,,16548
21,1210887,37호,좌석매출,매출,15days,2,0,49200,카드,신한카드,49200,0,2021-09-01,2021-09-02,2021-10-31,온라인결제,,,,16548
22,1210892,13호,좌석매출,매출,고정석,1,0,178000,카드,롯데카드사,0,178000,2021-09-01,2021-09-03,2021-10-02,온라인결제,,,,5637
23,1210892,13호,좌석매출,매출,고정석,1,0,72000,카드,롯데카드사,72000,0,2021-09-01,2021-09-03,2021-10-02,온라인결제,,,,5637
24,1210895,29호,좌석매출,매출,1day,0,0,6240,카드,카카오뱅크mini,0,6240,2021-09-01,2021-09-01,2021-09-01,키오스크결제,,,,12387
25,1210895,29호,좌석매출,매출,1day,0,0,6760,카드,카카오뱅크mini,6760,0,2021-09-01,2021-09-01,2021-09-01,키오스크결제,,,,12387
26,1210896,07호,좌석매출,매출,자유석,1,0,178000,카드,하나카드,0,178000,2021-09-01,2021-09-04,2021-10-03,온라인결제,,,,2414
27,1210896,07호,좌석매출,매출,자유석,1,0,67000,카드,하나카드,67000,0,2021-09-01,2021-09-04,2021-10-03,온라인결제,,,,2414
28,1210898,22호,좌석매출,매출,자유석,1,0,40590,카드,현대카드사,0,40590,2021-09-01,2021-08-23,2021-09-01,온라인결제,,,재결제 매출,9047
29,1210898,22호,좌석매출,매출,자유석,1,0,4410,카드,신한카드,4410,0,2021-09-01,2021-08-23,2021-09-01,온라인결제,,,재결제 매출,9047
30,1210899,22호,좌석매출,매출,고정석,1,0,135590,카드,현대카드사,0,135590,2021-09-01,2021-09-02,2021-10-01,온라인결제,,,,9047
31,1210899,22호,좌석매출,매출,고정석,1,0,34410,카드,신한카드,34410,0,2021-09-01,2021-09-02,2021-10-01,온라인결제,,,,9047
32,1210900,22호,좌석매출,매출취소,자유석,1,0,-135590,카드,현대카드사,0,-135590,2021-09-01,2021-08-23,2021-09-22,온라인결제,,,,9047
33,1210900,22호,좌석매출,매출취소,자유석,1,0,-14410,카드,신한카드,-14410,0,2021-09-01,2021-08-23,2021-09-22,온라인결제,,,,9047
34,1210902,38호,좌석매출,매출,자유석,1,0,125000,카드,NH카드,0,125000,2021-09-01,2021-09-01,2021-09-30,키오스크결제,,,,16709
35,1210903,03호,좌석매출,매출,1day,0,0,9000,카드,KB체크카드,0,9000,2021-09-01,2021-09-01,2021-09-01,키오스크결제,,,,942
36,1210903,03호,좌석매출,매출,1day,0,0,6000,카드,KB체크카드,6000,0,2021-09-01,2021-09-01,2021-09-01,키오스크결제,,,,942
37,1210905,03호,좌석매출,매출,1day,0,0,9000,카드,신한카드체크,0,9000,2021-09-01,2021-09-01,2021-09-01,키오스크결제,,,,804
38,1210905,03호,좌석매출,매출,1day,0,0,6000,카드,신한카드체크,6000,0,2021-09-01,2021-09-01,2021-09-01,키오스크결제,,,,804
39,1210908,29호,좌석매출,매출,포커스석,1,0,120510,카드,NH카드,0,120510,2021-09-01,2021-09-03,2021-10-02,키오스크결제,,,,12274
40,1210908,29호,좌석매출,매출,포커스석,1,0,69490,카드,NH카드,69490,0,2021-09-01,2021-09-03,2021-10-02,키오스크결제,,,,12274
41,1210909,21호,좌석매출,매출,자유석,1,0,144000,카드,KB국민카드,0,144000,2021-09-01,2021-09-02,2021-10-01,키오스크결제,,,,8956
42,1210909,21호,좌석매출,매출,자유석,1,0,56000,카드,KB국민카드,56000,0,2021-09-01,2021-09-02,2021-10-01,키오스크결제,,,,8956
43,1210910,13호,좌석매출,매출,10days,1,0,90000,카드,신한카드,0,90000,2021-09-01,2021-09-01,2021-09-30,온라인결제,,,,5742
44,1210910,13호,좌석매출,매출,10days,1,0,40000,카드,신한카드,40000,0,2021-09-01,2021-09-01,2021-09-30,온라인결제,,,,5742
45,1210911,20호,좌석매출,매출,포커스석,1,0,140000,카드,비씨카드사,0,140000,2021-09-01,2021-09-01,2021-10-01,온라인결제,,,,8244
46,1210911,20호,좌석매출,매출,포커스석,1,0,75000,카드,비씨카드사,75000,0,2021-09-01,2021-09-01,2021-10-01,온라인결제,,,,8244
47,1210912,22호,좌석매출,매출,관리자유석,1,0,135590,카드,수협카드,0,135590,2021-09-01,2021-09-01,2021-10-01,키오스크결제,,,,9091
48,1210912,22호,좌석매출,매출,관리자유석,1,0,34410,카드,수협카드,34410,0,2021-09-01,2021-09-01,2021-10-01,키오스크결제,,,,9091
49,1210913,38호,좌석매출,매출,포커스석,1,0,125000,카드,신한카드체크,0,125000,2021-09-01,2021-09-01,2021-09-30,키오스크결제,,,,16816
50,1210913,38호,좌석매출,매출,포커스석,1,0,40000,카드,신한카드체크,40000,0,2021-09-01,2021-09-01,2021-09-30,키오스크결제,,,,16816
51,1210918,22호,좌석매출,매출,자유석,1,0,135590,카드,우리카드,0,135590,2021-09-01,2021-09-01,2021-10-01,키오스크결제,,,,8995
52,1210918,22호,좌석매출,매출,자유석,1,0,14410,카드,우리카드,14410,0,2021-09-01,2021-09-01,2021-10-01,키오스크결제,,,,8995
53,1210926,02호,좌석매출,매출,1day,0,0,9000,카드,우리체크,0,9000,2021-09-01,2021-09-01,2021-09-01,키오스크결제,,,,520
54,1210926,02호,좌석매출,매출,1day,0,0,5000,카드,우리체크,5000,0,2021-09-01,2021-09-01,2021-09-01,키오스크결제,,,,520
55,1210930,26호,좌석매출,매출,자유석,1,0,178000,카드,하나카드,0,178000,2021-09-01,2021-09-01,2021-09-30,키오스크결제,,,,10801
56,1210930,26호,좌석매출,매출,자유석,1,0,67000,카드,하나카드,67000,0,2021-09-01,2021-09-01,2021-09-30,키오스크결제,,,,10801
57,1211008,04호,좌석매출,매출,1day,0,0,9000,카드,KB국민카드,0,9000,2021-09-01,2021-09-01,2021-09-01,온라인결제,,,,1369
58,1211008,04호,좌석매출,매출,1day,0,0,6000,카드,KB국민카드,6000,0,2021-09-01,2021-09-01,2021-09-01,온라인결제,,,,1369
59,1211018,40호,좌석매출,매출,고정석,1,0,145600,카드,신한카드,0,145600,2021-09-01,2021-09-03,2021-10-02,온라인결제,,,,17538
60,1211018,40호,좌석매출,매출,고정석,1,0,19400,카드,KB국민카드,19400,0,2021-09-01,2021-09-03,2021-10-02,온라인결제,,,,17538
61,1211025,26호,좌석매출,매출,포커스석,1,0,166133,카드,비씨카드사,0,166133,2021-09-01,2021-08-03,2021-09-01,현장결제,,,재결제 매출,11163
62,1211025,26호,좌석매출,매출,포커스석,1,0,99867,카드,비씨카드사,99867,0,2021-09-01,2021-08-03,2021-09-01,현장결제,,,재결제 매출,11163
63,1211026,26호,좌석매출,매출취소,포커스석,1,0,-178000,카드,비씨카드사,0,-178000,2021-09-01,2021-08-03,2021-09-03,현장결제,,,,11163
64,1211026,26호,좌석매출,매출취소,포커스석,1,0,-107000,카드,비씨카드사,-107000,0,2021-09-01,2021-08-03,2021-09-03,현장결제,,,,11163
65,1211027,27호,좌석매출,매출,자유석,1,0,135000,카드,신한카드,0,135000,2021-09-01,2021-09-02,2021-10-02,키오스크결제,,,,11732
66,1211027,27호,좌석매출,매출,자유석,1,0,15000,카드,신한카드,15000,0,2021-09-01,2021-09-02,2021-10-02,키오스크결제,,,,11732
67,1211028,19호,좌석매출,매출,관리자유석,1,0,145600,카드,대구비씨체크,0,145600,2021-09-01,2021-09-03,2021-10-02,키오스크결제,,,,7588
68,1211028,19호,좌석매출,매출,관리자유석,1,0,44400,카드,대구비씨체크,44400,0,2021-09-01,2021-09-03,2021-10-02,키오스크결제,,,,7588
69,1211032,42호,좌석매출,매출,관리자유석,1,9000,100000,카드,롯데카드사,0,100000,2021-09-01,2021-09-02,2021-10-01,온라인결제,,무료체험 고객 재등록 할인,,18853
70,1211032,42호,좌석매출,매출,관리자유석,1,9000,71000,카드,롯데카드사,71000,0,2021-09-01,2021-09-02,2021-10-01,온라인결제,,무료체험 고객 재등록 할인,,18853
71,1211033,06호,좌석매출,매출,포커스석,1,0,144000,카드,KB국민카드,0,144000,2021-09-01,2021-09-02,2021-10-01,키오스크결제,,,,2104
