번호,매출키,지점,구분,매출구분,이용항목,이용개월,할인금액,결제금액,결제수단,카드사,"결제금액
과세","결제금액
면세",결제일,이용시작일,이용종료일,결제구분,제휴쿠폰(주문)번호,프로모션 할인,기타 특이사항,회원키
1,1270446,04호,좌석매출,매출취소,10days,1,0,-90000,카드,삼성카드사,0,-90000,2021-11-01,2021-10-31,2021-11-29,온라인결제,,,,1327
2,1270446,04호,좌석매출,매출취소,10days,1,0,-40000,카드,삼성카드사,-40000,0,2021-11-01,2021-10-31,2021-11-29,온라인결제,,,,1327
3,1270448,41호,좌석매출,매출,고정석,1,0,144000,카드,비씨카드사,0,144000,2021-11-01,2021-11-02,2021-12-01,온라인결제,,,,18187
4,1270448,41호,좌석매출,매출,고정석,1,0,96000,카드,비씨카드사,96000,0,2021-11-01,2021-11-02,2021-12-01,온라인결제,,,,18187
5,1270450,05호,좌석매출,매출,관리자유석,1,0,144000,카드,KB체크카드,0,144000,2021-11-01,2021-11-01,2021-11-30,키오스크결제,,,,1763
6,1270450,05호,좌석매출,매출,관리자유석,1,0,51000,카드,KB체크카드,51000,0,2021-11-01,2021-11-01,2021-11-30,키오스크결제,,,,1763
7,1270453,19호,좌석매출,매출,자유석,1,0,145600,카드,KB국민카드,0,145600,2021-11-01,2021-11-01,2021-11-30,온라인결제,,,,7828
8,1270453,19호,좌석매출,매출,자유석,1,0,24400,카드,KB국민카드,24400,0,2021-11-01,2021-11-01,2021-11-30,온라인결제,,,,7828
9,1270469,21호,좌석매출,매출,포커스석,1,0,136000,카드,우리카드,0,136000,2021-11-01,2021-11-01,2021-11-17,현장결제,,,,8897
10,1270471,09호,좌석매출,매출,고정석,1,0,178000,카드,현대카드사,0,178000,2021-11-01,2021-11-03,2021-12-02,온라인결제,,,,3580
11,1270471,09호,좌석매출,매출,고정석,1,0,82000,카드,비씨카드사,82000,0,2021-11-01,2021-11-03,2021-12-02,온라인결제,,,,3580
12,1270476,08호,좌석매출,매출,10days,1,0,99000,카드,롯데카드,0,99000,2021-11-01,2021-11-01,2021-11-11,키오스크결제,,,,3103
13,1270476,08호,좌석매출,매출,10days,1,0,26000,카드,롯데카드,26000,0,2021-11-01,2021-11-01,2021-11-11,키오스크결제,,,,3103
14,1270485,26호,좌석매출,매출,10days,1,0,90000,카드,롯데카드사,0,90000,2021-11-01,2021-11-01,2021-11-11,온라인결제,,,,10760
15,1270485,26호,좌석매출,매출,10days,1,0,40000,카드,롯데카드사,40000,0,2021-11-01,2021-11-01,2021-11-11,온라인결제,,,,10760
16,1270487,04호,좌석매출,매출,1day,0,0,9000,카드,신한카드체크,0,9000,2021-11-01,2021-11-01,2021-11-01,키오스크결제,,,,1384
17,1270487,04호,좌석매출,매출,1day,0,0,6000,카드,신한카드체크,6000,0,2021-11-01,2021-11-01,2021-11-01,키오스크결제,,,,1384
18,1270518,04호,좌석매출,매출,1day,0,0,9000,카드,씨티카드,0,9000,2021-11-01,2021-11-01,2021-11-01,키오스크결제,,,,1449
19,1270518,04호,좌석매출,매출,1day,0,0,6000,카드,씨티카드,6000,0,2021-11-01,2021-11-01,2021-11-01,키오스크결제,,,,1449
20,1270521,04호,좌석매출,매출,15days,2,0,135000,카드,하나카드,0,135000,2021-11-01,2021-11-01,2021-12-30,키오스크결제,,,,1339
21,1270521,04호,좌석매출,매출,15days,2,0,60000,카드,하나카드,60000,0,2021-11-01,2021-11-01,2021-12-30,키오스크결제,,,,1339
22,1270528,13호,좌석매출,매출,자유석,1,0,111000,카드,비씨카드사,0,111000,2021-11-01,2021-11-03,2021-11-17,현장결제,,,,5490
23,1270529,20호,좌석매출,매출,자유석,1,0,100300,카드,현대로컬개인,0,100300,2021-11-01,2021-11-01,2021-11-17,현장결제,,,,7933
24,1270530,29호,좌석매출,매출,포커스석,1,0,120510,카드,NH카드,0,120510,2021-11-01,2021-11-02,2021-12-01,키오스크결제,,,,12274
25,1270530,29호,좌석매출,매출,포커스석,1,0,69490,카드,NH카드,69490,0,2021-11-01,2021-11-02,2021-12-01,키오스크결제,,,,12274
26,1270534,25호,좌석매출,매출,관리자유석,1,0,118400,카드,하나카드,0,118400,2021-11-01,2021-11-02,2021-11-17,현장결제,,,,10479
27,1270536,15호,좌석매출,매출,자유석,1,0,145000,카드,삼성카드,0,145000,2021-11-01,2021-11-01,2021-11-30,키오스크결제,,,,6529
28,1270537,38호,좌석매출,매출,자유석,1,0,63000,카드,현대로컬개인,0,63000,2021-11-01,2021-11-03,2021-11-17,현장결제,,,,16667
29,1270539,40호,좌석매출,매출,고정석,1,0,88000,카드,신한카드,0,88000,2021-11-01,2021-11-02,2021-11-17,현장결제,,,,17538
30,1270542,01호,좌석매출,매출,자유석,1,0,170000,카드,롯데카드,0,170000,2021-11-01,2021-11-01,2021-11-30,키오스크결제,,,,58
31,1270547,31호,좌석매출,매출,자유석,1,0,119830,카드,신한카드,0,119830,2021-11-01,2021-11-01,2021-11-30,키오스크결제,,,,13622
32,1270547,31호,좌석매출,매출,자유석,1,0,50170,카드,신한카드,50170,0,2021-11-01,2021-11-01,2021-11-30,키오스크결제,,,,13622
33,1270552,32호,좌석매출,매출,자유석,1,0,117300,카드,신한카드체크,0,117300,2021-11-01,2021-11-02,2021-11-17,현장결제,,,,13962
34,1270555,31호,좌석매출,매출,사물함,0,0,15000,카드,신한카드,15000,0,2021-11-01,2021-11-01,2021-11-01,현장결제,,,,13622
35,1270556,37호,좌석매출,매출,고정석,1,0,158050,카드,하나카드,0,158050,2021-11-01,2021-11-08,2021-12-07,온라인결제,,,,16182
36,1270556,37호,좌석매출,매출,고정석,1,0,51950,카드,하나카드,51950,0,2021-11-01,2021-11-08,2021-12-07,온라인결제,,,,16182
37,1270558,32호,좌석매출,매출취소,자유석,1,0,-117300,카드,신한카드체크,0,-117300,2021-11-01,2021-11-02,2021-11-17,현장결제,,,,13962
38,1270559,32호,좌석매출,매출,자유석,1,0,110400,카드,신한카드체크,0,110400,2021-11-01,2021-11-02,2021-11-17,현장결제,,,,13962
39,1270563,09호,좌석매출,매출,자유석,1,0,178000,카드,삼성카드사,0,178000,2021-11-01,2021-11-04,2021-12-03,온라인결제,,,,3724
40,1270563,09호,좌석매출,매출,자유석,1,0,52000,카드,삼성카드사,52000,0,2021-11-01,2021-11-04,2021-12-03,온라인결제,,,,3724
41,1270565,20호,좌석매출,매출,고정석,3,30750,420000,카드,NH체크카드,0,420000,2021-11-01,2021-11-01,2022-01-29,키오스크결제,,,,8005
42,1270565,20호,좌석매출,매출,고정석,3,30750,164250,카드,NH체크카드,164250,0,2021-11-01,2021-11-01,2022-01-29,키오스크결제,,,,8005
